Home,Away,HG,AG,HAP,AAP,HLP,ALP,HAG,AAG,HAAG,AAAG
Watford,Wolves,1,2,1.429,1.457,7,7,1.429,1.257,1.429,1.229
Burnley,Man City,0,1,1.143,2.543,10,15,1.257,2.543,1.771,0.629
Leicester,Arsenal,3,0,1.371,1.886,10,6,1.371,1.971,1.343,1.314
Man United,Chelsea,1,1,1.829,1.914,6,10,1.8,1.686,1.429,1.086
Everton,Burnley,2,0,1.389,1.111,10,10,1.389,1.222,1.222,1.75
Bournemouth,Tottenham,1,0,1.167,1.944,4,9,1.444,1.806,1.806,1.0
Cardiff,Crystal Palace,2,3,0.861,1.194,3,7,0.833,1.194,1.833,1.333
Newcastle,Liverpool,2,3,1.167,2.528,7,15,1.0,2.333,1.25,0.556
West Ham,Southampton,3,0,1.278,1.056,4,5,1.25,1.222,1.5,1.694
Wolves,Fulham,1,0,1.5,0.722,10,9,1.278,0.944,1.222,2.111
Arsenal,Brighton,1,1,1.833,0.972,3,2,1.917,0.917,1.361,1.528
Chelsea,Watford,3,0,1.889,1.389,8,7,1.667,1.417,1.083,1.444
Huddersfield,Man United,1,1,0.389,1.806,0,4,0.556,1.778,2.056,1.417
Man City,Leicester,1,0,2.556,1.417,15,10,2.5,1.417,0.611,1.306
Brighton,Man City,1,4,0.973,2.568,3,15,0.919,2.459,1.514,0.595
